,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
258,Fabian Schär,2,2,135,0,0,2,0,0,,0,0,2,0,65,82,79.3,2,1,1,2,7,0,100,0,0,,1,2,0,0,0,0,0,4,4,DF,30,eng,Newcastle Utd,Switzerland
259,Edimilson Fernandes,3,1,145,0,0,1,0,0,,0,0,0,0,65,82,79.3,2,1,3,2,3,0,96,0,1,0,1,1,1,5,0,0,0,0,1,"FW,DF",26,de,Mainz 05,Switzerland
260,Gregor Kobel,1,1,90,0,0,0,0,,,0,0,0,0,21,29,72.4,0,0,0,0,0,0,30,0,0,,0,0,0,0,0,0,0,0,0,GK,24,de,Dortmund,Switzerland
261,Fabian Rieder,2,1,68,0,0,0,0,,,0,0,1,0,13,26,50,3,2,2,0,1,0,34,1,1,100,4,2,0,1,0,0,0,0,1,FW,20,ch,Young Boys,Switzerland
262,Haris Seferović,3,0,71,0,0,1,0,0,,0,0,0,0,10,14,71.4,0,0,2,0,0,0,19,0,0,,1,0,0,0,0,0,0,0,1,FW,30,tr,Galatasaray,Switzerland
263,Denis Zakaria,2,0,59,0,0,1,0,0,,0,0,0,0,20,23,87,0,0,1,3,1,0,33,0,2,0,1,2,0,0,0,0,0,1,2,MF,25,eng,Chelsea,Switzerland
264,Eray Cömert,2,0,46,0,0,0,0,,,0,0,1,0,38,42,90.5,0,0,1,2,2,0,50,0,1,0,3,1,0,0,0,0,0,0,0,DF,24,es,Valencia,Switzerland
265,Noah Okafor,3,0,45,0,0,1,0,0,,0,0,0,0,17,22,77.3,0,0,1,0,0,0,29,0,3,0,2,1,1,0,0,0,0,0,0,"FW,MF",22,at,RB Salzburg,Switzerland
266,Renato Steffen,1,0,32,0,0,0,0,,,0,0,0,0,13,15,86.7,0,0,1,0,0,0,20,0,0,,0,1,1,0,0,0,0,0,1,FW,30,ch,Lugano,Switzerland
267,Fabian Frei,2,0,25,0,0,0,0,,,0,0,0,0,9,14,64.3,1,1,0,1,0,0,16,0,0,,1,0,0,0,0,0,0,0,1,MF,33,ch,Basel,Switzerland
